,Stars,clean_text_train
0,4,overall good product using last month without issue good product
1,4,good product easy use package good recommend buy one think not like le space still buy bag review
2,4,value money good quality
3,4,good value money
4,4,bag decent zip bit low quality pocket not much space bottle holder started tear week look alright comfortable enough daily use though decent cost
5,4,like good product
6,4,spacious given price range quality also good look descent standard unlike brand budget best category
7,4,good quality given price material quality good
8,4,nice product nice product
9,4,not bad price good quality good quality bag
10,4,nice product nice
11,4,good look comfortable
12,4,nice bag price range check size body type good quality
13,4,good bag excellent
14,4,rain coat cover mentioned product image rain cover
15,3,copy look like use daily month use demage normal product
16,4,good product material good product
17,3,product made thin material not durable quality
18,4,perfect school college student
19,4,school good product
20,4,good product price good product price
21,3,think not original quality not good not value pay
22,3,worth quality not mark style good product quality
23,4,nice beg good
24,3,nice quality month front white color gone not wash bag time month super quality
25,4,good quality product product
26,4,useful everyone comfortable good one
27,3,item purchased expecting good american tourister quality bag light weight spacious flimsy not provide back support bag not purchased laptop bag not sure last long extended usage poor quality
28,4,everything good price much according size back pack
29,3,mesh pocket bag get torn within one year usually used bag class torn within one year
30,4,good good
31,3,found useful quality also good side mesh pocket real bad quality got torned within month usage mesh material could better bad serf job well
32,5,looking good bag packaging not like want costly product packaged safe good packaging nice bought yesterday
33,3,not bad
34,5,good worth money
35,3,average quality product single zip per every compartment zip runner single cost saving bad feature brand average quality product
36,4,comfort food quality good seems durable product nice want little bit smaller height
37,4,good material good product
38,3,bag got fine rain cover provided bag seems fine rain cover missing
39,5,amazing quality worth money amazing
40,5,awesome awesome
41,4,white colour bag good print outside vanishes regular use opinion one opt black one opt black colour
42,4,product lightweight water resistant plenty pocket product material definitely good issue got blue white bag day use white material starting come getting dirty worst dirty part could not cleaned soap alcohol sanitizer anything else however definitely look cool good except one
43,5,nice nice product
44,5,good space
45,3,not get rain bag cover not get rain bag cover
46,3,separate compartment laptop good travel
47,5,value money good product
48,4,great bag nice
49,4,nice bag nice
50,5,good space also much quality
51,3,material not good quite spacious month use look quite old okay
52,4,bag good laptop pocket laptop pocket
53,3,good large overall best good
54,3,school bag big compartment
55,3,side pocket torn apart use water bottle not satisfied
56,5,comfortable rough tough good one
57,5,quality product best quality
58,5,good spacious bag durable product
59,4,satisfied product delivery timing good
60,5,good good
61,3,okay one photo look better product
62,4,use day bottel pocket got cut bottle pocket
63,4,good back get easily damaged soon bag
64,4,good bag bag review
65,5,material good zip quality best best quality
66,4,water resistant material classic backpack
67,5,happy good quality
68,4,like best
69,5,nice look good amount space book water bottle holder also big enough
70,5,play video amazing product love material awesome packing also nice bag not packed unnecessary paper liked thank much amazon wonderful product amazon always love delivery smooth always got best product american tourist backpack
71,5,nothing better good durability
72,5,worthy money superb product
73,5,play video good looking unbeatable quality
74,3,material used thin much space expected not know much weight handled color padding also not expected level overall worth average quality
75,5,good expected good expected
76,5,compact good carry laptop water bottle daily use nice bag
77,4,stitch solid premium weight le good
78,5,finally good quality bag affordable price good quality bag town
79,5,bag good design would better pocket inside otherwise stitching good everything good bag sturdy nice
80,5,bag good carry quality also fine quality good
81,5,spacious bag value money product
82,3,like bag nice bag
83,5,worth every penny happy product good quality product
84,3,looking not good vagrancy
85,5,waste money quality bad quality not good
86,3,non water proof not durable rainy season average
87,4,quality bag good rate bag american tourister backpack
88,4,spacious
89,4,
90,3,decent backpack bur not side reinforcement band size use school bag weight bad back retrun american tourister sure not committed cost saving usa luggage band make mistake
91,4,overall good good
92,4,bag okay light weight rain cover provide light weight
93,4,nice comfortable good student
94,5,nice nice
95,4,bag good pocket not good nice bag within month pocket torn
96,4,good one nice
97,5,value money long durability good product
98,5,best bag like would also recommend best bag recommend
99,4,like product good quality
100,4,overall good product using last month without issue good product
101,4,good product easy use package good recommend buy one think not like le space still buy bag review
102,4,value money good quality
103,4,good value money
104,4,bag decent zip bit low quality pocket not much space bottle holder started tear week look alright comfortable enough daily use though decent cost
105,4,like good product
106,4,spacious given price range quality also good look descent standard unlike brand budget best category
107,4,good quality given price material quality good
108,4,nice product nice product
109,4,not bad price good quality good quality bag
110,4,nice product nice
111,4,good look comfortable
112,4,nice bag price range check size body type good quality
113,4,good bag excellent
114,4,rain coat cover mentioned product image rain cover
115,4,good product material good product
116,4,perfect school college student
117,4,school good product
118,4,good product price good product price
119,4,nice beg good
120,4,good quality product product
121,4,useful everyone comfortable good one
122,4,everything good price much according size back pack
123,4,good good
124,5,looking good bag packaging not like want costly product packaged safe good packaging nice bought yesterday
125,5,good worth money
126,4,comfort food quality good seems durable product nice want little bit smaller height
127,4,good material good product
128,5,amazing quality worth money amazing
129,5,awesome awesome
130,4,white colour bag good print outside vanishes regular use opinion one opt black one opt black colour
131,4,product lightweight water resistant plenty pocket product material definitely good issue got blue white bag day use white material starting come getting dirty worst dirty part could not cleaned soap alcohol sanitizer anything else however definitely look cool good except one
132,5,nice nice product
133,5,good space
134,5,value money good product
135,4,great bag nice
136,4,nice bag nice
137,5,good space also much quality
138,4,bag good laptop pocket laptop pocket
139,5,comfortable rough tough good one
140,5,quality product best quality
141,5,good spacious bag durable product
142,4,satisfied product delivery timing good
143,5,good good
144,4,use day bottel pocket got cut bottle pocket
145,4,good back get easily damaged soon bag
146,4,good bag bag review
147,5,material good zip quality best best quality
148,4,water resistant material classic backpack
149,5,happy good quality
150,4,like best
151,5,nice look good amount space book water bottle holder also big enough
152,5,play video amazing product love material awesome packing also nice bag not packed unnecessary paper liked thank much amazon wonderful product amazon always love delivery smooth always got best product american tourist backpack
153,5,nothing better good durability
154,5,worthy money superb product
155,5,good looking unbeatable quality
156,5,good expected good expected
157,5,compact good carry laptop water bottle daily use nice bag
158,4,stitch solid premium weight le good
159,5,finally good quality bag affordable price good quality bag town
160,5,bag good design would better pocket inside otherwise stitching good everything good bag sturdy nice
161,5,bag good carry quality also fine quality good
162,5,spacious bag value money product
163,5,worth every penny happy product good quality product
164,5,waste money quality bad quality not good
165,4,quality bag good rate bag american tourister backpack
166,4,spacious
167,4,
168,4,overall good good
169,4,bag okay light weight rain cover provide light weight
170,4,nice comfortable good student
171,5,nice nice
172,4,bag good pocket not good nice bag within month pocket torn
173,4,good one nice
174,5,value money long durability good product
175,5,best bag like would also recommend best bag recommend
176,4,like product good quality
177,5,worth money good quality received good condition worth money
178,5,best backpack not think drawback compartment laptop wise good product valuable
179,5,excellent product useful purchase
180,5,quite big light weight material used also quite nice nice product
181,5,nice bag son loved good product
182,5,fully satisfied product good delivery easy payment done thanks amazon value money
183,5,good quality also space quality
184,4,great quality
185,4,image show bag rain cover not rain cover rain cover
186,4,good good
187,4,side bottle cary burst one month bad
188,5,like product nice nice
189,4,fancy look high strength big size look strength bag also size space provided
190,5,bought many year ago browsing amazon order review bag year graduation still good condition travelled many place bag laptop accessory also cloth found ultra durable bought around along skybag brother still brother abandoned bag bag not even store book showes many problem not bag emotion worth every rupee
191,5,good bag look good packing good good bag ikep week trip luggage bag lit big
192,5,quality nice bag
193,4,durable good looking good bag value money
194,4,good quality product raincover falsely not included great bag worth price nice durable
195,4,good college laptop good product
196,4,hope work well long look good quite lightweight delivered time hope withstand weight dozen text note book update review use bought gift child
197,4,like capacity bag good travelling one minus laptop sleeve good bag
198,4,nice bag value money spaceable good quality class light weight
199,4,birthday gift really happy product
200,3,copy look like use daily month use demage normal product
201,3,product made thin material not durable quality
202,3,think not original quality not good not value pay
203,3,worth quality not mark style good product quality
204,3,nice quality month front white color gone not wash bag time month super quality
205,3,item purchased expecting good american tourister quality bag light weight spacious flimsy not provide back support bag not purchased laptop bag not sure last long extended usage poor quality
206,3,mesh pocket bag get torn within one year usually used bag class torn within one year
207,3,found useful quality also good side mesh pocket real bad quality got torned within month usage mesh material could better bad serf job well
208,3,not bad
209,3,average quality product single zip per every compartment zip runner single cost saving bad feature brand average quality product
210,3,bag got fine rain cover provided bag seems fine rain cover missing
211,3,not get rain bag cover not get rain bag cover
212,3,separate compartment laptop good travel
213,3,material not good quite spacious month use look quite old okay
214,3,good large overall best good
215,3,school bag big compartment
216,3,side pocket torn apart use water bottle not satisfied
217,3,okay one photo look better product
218,3,material used thin much space expected not know much weight handled color padding also not expected level overall worth average quality
219,3,like bag nice bag
220,3,looking not good vagrancy
221,3,non water proof not durable rainy season average
222,3,decent backpack bur not side reinforcement band size use school bag weight bad back retrun american tourister sure not committed cost saving usa luggage band make mistake
223,3,design bag torn month bag waterproof best us design torn
224,3,bag large size not comfortable daily travelling large size not suitable daily commuting
225,3,material bag like cheap plastic elastic bottle holder get loose real fast last two pocket barely useable cheap material
226,3,not value money good
227,3,good good
228,3,good bag original american tourister good net clean condition package not good delivery man not good
229,3,dislike rain bag cover not bag rain bag cover not bag
230,2,bottle pocket ripped two month use not expect brand not good
231,2,not buy bag poor quality
232,2,
233,3,play video use side pocket quality not good
234,3,material vert thin delicate not sturdy infact net side pocket got torn within day quality compromised
235,3,bag quality poor bag side protection laptop kept bag ground bag laptop direct hit ground bag quality
236,3,not bad not bad
237,3,quality best good product
238,3,quality material poor not come padded laptop compartment critical protection plastic top poor quality not worth buy
239,2,packaging product poor may duplicacy nothing
240,2,not good product worst material
241,1,bag bought outlet luckily able compare material quality not even worth even bottle mash made plastic break month not buy product seller buy outlet not original american tourister
242,3,like bag lot space keep book notebook thing quality bottle holder bad tore even le month disappointed not keep lunch box not separate section quality bottle holder bad
243,3,not feel like original product
244,3,material lightweight good quality thin back side padded laptop compartment raincover pocket multipurpose pocket bag good school travel activity
245,3,value money not bad
246,3,bag came without rain bag cover mentioned insufficient accessory
247,3,thought whole bag would waterproof although covering zip still not fully covering front back area not waterproof expected
248,3,good strorege available best daily use
249,3,quality not good look wise good quality
250,2,strip broken first day worst product ever seen not outer apperance bad quality
251,2,not worth brand look like local brand spacious poor quality material poor quality
252,3,material not good showed bag cover not provided not american tourister bag
253,2,water get inside heavy rain book get wet water resistance
254,3,le feature thin material separate key holder convenient use carry maximum dress small accessory le feature
255,3,internal material quality poor rough use material
256,3,separate compartment laptop light material used special pocket rain cover not satisfactory
257,2,raincover not present rain cover
258,2,poor quality not value money
259,1,laptop compartment pouch video say keep laptop separate space like bag quality jus not great disappointing laptop space
260,3,good good
261,3,bag good capacity good travelling take even school good tear one month two month request not product choose another product please not buy product event going buy take careful like travelling not take school said not take district school take school get automatically tear four month aur month product please travelling buy not take school bag good
262,3,decent bsd
263,3,design quality colour not expected design colour not expected
264,3,purchased bag based rating review not happy product quality material used thin compared bag home quality not good
265,1,waste money finished within day use might fake stuff amazon renowned probably fake stuff
266,3,average product average
267,2,not good product offline market totally loss bad product
268,2,side carry pocket torn month zip not working right bag flimsy padding support bag big not worth poor material quality
269,2,thought polyester mater receiving knew not polyester like flex material hard one frankly not like bag
270,3,
271,1,used american tourister many time even backpack suitcase brand puchased online first time not expected puchasing product offer not mean thw quality depends money paid high expectation american tourister
272,3,value money value money
273,3,product good white colour not good type beg product good white colour not good type beg
274,1,play video purchased bagpack back february high hope owning reliable durable product however experience nothing short disappointing month limited usage noticed several issue not occurred firstly bottle holder mesh essential feature unexpectedly tore apart not put excessive weight strain used occasionally additionally zip chain came leaving bag content vulnerable causing inconvenience surprise not even use bag daily basis yet still encountered numerous problem expected better quality craftsmanship brand like american tourister known reputation assurance providing reliable product regrettably not read review purchasing product understand importance hope review serf warning others might considering purchasing item simply not live promise not recommend anyone disappointing quality durability poor quality
275,1,small quality not wrost product
276,3,picture actual product received slightly different term colour quality seems pretty normal not great price ifact front part look similar raxine image real product slightly different
277,2,bag not make year son used ripped several place not good quality
278,2,precious bottle got slipped side strap bottle protection bag quality also not good easily available local market not worth literally
279,3,material like plastic space nice quality not good
280,1,not happy quality not seems american tourister poor quality
281,1,quality not good worst product seems like fake one not buy cheap quality product
282,1,damage one time use going brother bag left site damage
283,3,front chain chain hook close chain completely every compartment also opening make thing falling material also look glossy not premium one not upto mark
284,3,quality bag not good light not suitable professional use low quality bag
285,2,using brand since time not satisfied product quality totally backpack look cheap quality especially stitching using month stitch become damage also print quality cheap one please think buying tourister backpack think not genuine one
286,3,not sure outline inner stitch not great need even sturdy
287,1,compartment keep laptop weird not standard design look
288,3,quality good one black spot carrybag use delivery used box would good delivery packaging not good
289,3,bad quality not met expectation
290,1,quality stuff bad bad product
291,3,abhi return payment not come case skte june return abhi received kyun hua esi seva rahi sabhi amazon vishwash nhi rahegaoverall product good lightweight good design quality not good expected american tourist bottle holder also big bag suitable thanks amazon design lightweight
292,1,product big school bag also not returning product despite multiple follow ups not recommended big amazon not arranging return
293,3,written contains bag cover bag cover not bag cover
294,3,not laptop office use school bag best kid
295,2,poor quality tore month use look duplicate not seem authentic not waste money poor substandard quality
296,1,low material quality jip also not comfortable stitching
297,1,material used bad packing also not done would never trust anyone not buy quality bad
298,2,print got cracked one month totally waste money bad product
299,1,bought bag around month ago single month bag started losing threds one stripe totally tore tried claim warranty bag every store said bag year old model production stopped year ago selling amazon flipcart minimal price see bottle holder made net used old bag new bag american tourister not give met bottle holder give whole cloth waterproofing bag worst drop rain fell destroyed whole book even wore bag raincoat option zero star would loved give not even worth buy offline bag want buy american tourister previously used bag still working condition using year please not buy bag
300,4,best office use good product good price
301,4,good quality product dimension not comfortable wear shoulder bag suggest make cushion bit better good quality
302,4,bag good appealing many pouch store stuff laptop section segregated pouch slide suitable storing bug slightly heavier may due good quality material good quality bag slightly heavy
303,4,good quality actually dark gray not light gray shown picture good quality different color
304,4,expected not bulky bag bulky
305,5,bought product regular office use experience good bag spacious enough room laptop accessory also room small lunch box material light weighted look classy changing shoulder bag bagpack awesome addon surely recommend office personal stylish spacious strudy
306,4,nice daily office college use
307,4,bag look good quality end point belt not good quality
308,5,every aspect designed day life quality compartment zip excellent carry travel bag laptop bag pro executive bag quality design
309,5,great bag quality not compromised anything briefcase backpack required ample pocket space great bag
310,5,material finishing good look classy cushioning laptop adequate little bit expensive price tag good quality product little bit expensive
311,5,used month material finishing ease use good worthy product hat designer good quality product
312,5,love bag really nice design well made look trendy different mass produced bag would great material subjected water proofing unique beautiful
313,5,material good useful shooting makeup bag shooting makeup bag
314,3,like material zipper quality dislike image shown picture spacious talk space putting laptop small diary book like catalog feel like tourist bag not carry else feel bag torn apart minute carry much stuff not comfortable daily work use travel well not easy use carry daily travel occasionally way stitching quality somehow make feel like going torn apart carrying extra weight not feel backpack personal experience recommendation not meanwhile budget either branded backpack add extra buck budget hammonds flycatcher leather bag not worth buying
315,3,material fine bag big not college student office purpose big feel like sale bag good one like sale bag
316,5,title review excellent material carry essential tour travel
317,5,good
318,3,one outer pocket came poor sewing otherwise good bag always carried lot weight became bit uncomfortable weight fared almost year quite fair duration time heft stored fabric around belt joint tore month use good material overall structure
319,5,product nice product
320,5,useful handy
321,4,good sturdy quality spacious plus multiple pocket never miss anything store everything bag specially electronics gym clothes slightly big size not big make uncomfortable carry worth price good daily use office bag
322,5,worth buy excellent office
323,5,loved style colour dark green material attractive love product attractive sturdy must buy
324,4,overall fine chain not moving smoothly not look high quality look good decent quality chain look ordinary
325,4,bag cover not given good product
326,5,ample amount space ease use two style carrying like back pack hand shoulder wow best bag ever buied
327,5,product quality design good definitely good buy great product worth
328,5,extremely good happy extremely good happy
329,5,good good
330,5,good quality zipper outer material thoughtfully made like concealed shoulder strap multiple compartment look good good quality convertible formal sling backpack
331,5,good quality good quality
332,5,good product not waterproof
333,4,look quality extremely satisfying also packaging good genuine review
334,5,plethora option attracts one attention good product
335,3,material used could better canvas used could thicker shoulder strap clip flimsy overall good bag lot pocket durability
336,5,zipper lock pretty good lot pocket little heavy though product quality good nice
337,5,great product value money quality
338,4,many separation useful travel nice bag
339,5,fat mug bag nice specious good one day tour also nice spacious bag
340,4,good looking beg multiple pocket good looking stylish beg
341,4,comfortable organise thing day travel use comfortably usually take laptop best laptop bag hold laptop additional pair clothes nice job fatmug keep work worth every penny worth
342,5,not think buy best top notch product affordable price
343,5,amazing bag adequately big premium feel recommend everyone amazing product
344,5,travelling good fabric stitching model design look also great
345,4,bought office use not comfortable shoulder capacity organisation good multiple internal well external pocket easy distribute different item different place quality good well worth buy good product
346,5,one review amazon felt compelled say good bag many little thoughful thing helpful heartwarming know social responsibility employ disadvantaged donate yet manage create stunning functional design craftsmanship well built product refreshing find good local brand
347,4,verry good look professional everyone ask name price premium goodlooking
348,5,got bag first impression pretty darn good tend weigh thing utility prespective seems spacious lot pocket organize stuff like zipper feel well made fine stiching option convert bag pack nice touch got dark grey colour look good paired brown theme fabric feel sturdy would use understand well actually hold asking price would say fair roi hold well thanks fatmug pleasantly surprised
349,5,good product bigger expected good quality good space management value money good product value money
350,5,good product accommodate many item ease worth money best product
351,4,good quality bag office
352,5,met expectation happy product good
353,4,bag excellent term build quality space many great feature however one downside not waterproof good bag not waterproof
354,5,nice product love colour design nice loved astounding product
355,5,multipurpose easy transform sling bag backpack quality decent multiple pocket really useful multipurpose
356,3,bag good overall nearly great look wise decent quality wise almost good enough except cheap component spoiling reputation like one strikingly cheap part attached plastic hook strap not even basic steel like cheap safety pin perhaps composite material mixed aluminium something else cheap look thin weak look like break easily might saved paisa component stupidity cheapness behalf quality team component sourcing destroys whole effort brand build quality image taking merely star customer quality business manager company would really not let pas almost great cheap thing destroying overall value
357,4,product well crafted good quality material good price product thing consider lot zipper may not preferable everyone bag feel like bulky buy carry laptop also keep lot stuff book dairy file folder cloth also inch laptop perfect size bag someone inch laptop feel bulky size bag felt lot cabin lot zipper pocket help put electronics accessory one place laptop charger external hard drive small pouch memory card adaptor card reader pen drive stylus notebook file folder well fitted bag quality price good rest call worth buying
