Stars,Titles,Reviews
4,Good product,"Overall good product, using last 1 month without any issues"
4,Bag review,Very good product it is very easy to use and the package is all good so I recommend you to buy this but one think I don't like is it has less space but still you can buy it
4,Good quality,Value for money
4,पैसा वसूल,Good
4,Decent for the cost,This bag is decent for 1k. Zips are a bit low quality. The 3rd pocket doesn't have much space. The bottle holder has started to tear after a few weeks. Looks alright and is comfortable enough for daily use though.
4,"Best in category, Go for it.","It's spacious in the given price range and the quality is also good. Looks descent and standard, unlike the other brands in this budget."
4,Good Product,I like it.
4,VERY NICE,VERY NICE PRODUCT
4,Material quality is good,Good quality in given price
4,Very nice product,Very nice product.
4,Very comfortable,Good looks
4,Good quality bag,"Play Video
 Not bad in this price, good quality"
4,Good Quality,Nice bag in this price range. check size once with your body type.
4,Badhiyaa,Good .majbut bag h
4,No Rain cover,Why there is no rain coat cover as mentioned in the product image
3,Normal product,It's 2nd copy look like if u use daily it's will be 12 or 15 months you can use its after it will be demage
4,Good product,For school
4,Good product,Goog product material
3,Quality,Product made out of thin material and not durable
4,Perfect! For school & collage students,
4,Good product in this price.,Good product in this price.
3,Product quality is ok ok,600 to 700 worth quality is not up to the mark style is good
4,Good 👍,Nice beg
3,Super quality,Very nice quality and after 6 month front white color are gone don't wash your bag 3 times 6 month
4,Product,Good quality product 👍
3,Not the value that we pay,Think that it is not original as quality not good
4,Comfortable & good one,Useful for everyone
3,Poor quality,This item was purchased expecting a good American Tourister quality. The bag is light weight and spacious but is very flimsy and does not provide any back support. This bag should not be purchased as a laptop bag. Not sure if it will last long with extended usage.
3,Torn within one year,The mesh pockets of this bag get torn within one year ....I usually used this bag for class.
3,Does the job well but ....,Found is very useful and quality also good. But the side mesh pockets are of real bad quality. Both of them got torned within 2 months of usage. The mesh material could be better. Other than that the bad serves me we'll.
5,very nice bought yesterday,it is looking very good as a bag but there was no packaging. i dont like it. i want my some costly product packaged which is safe in a good packaging.
3,Not bad😎,
4,Back pack,Everything is good but the price much according size.
4,Very good,Very good
5,👍,Good worth for money
3,Average quality product,Average quality product. Single zip per every compartment. Zip runner is single!!! Cost saving bad feature for the brand
4,Nice but I want a little bit smaller in height,"Comfot good, quality is good and seems durable product."
4,Good product,Good material
3,Bag seems fine. Rain cover missing.,The bag I got it for 899. It's fine but no rain cover provided.
5,Amazing,Amazing Quality. Worth for a Money
5,Awesome,Awesome 🛍️
4,Should opt for black Colour,"White colour bag is good, but the print on the outside vanishes after regular use. So in my opinion one should opt for black one"
4,All good except one...,"The product was top-notch... It was lightweight, water resistant, had plenty of pockets.... and the product material was definitely good. But the only issue was I got the blue and white bag, and with only 2-3 days of use the white material was starting to come off or getting dirty, ad worst is the dirty part couldn't be cleaned with soap, alcohol, sanitizer, or anything else... However, it definitely looks cool 👍🏼"
3,I did not get the rain bag cover,I did not get the rain bag cover
3,Good for travel,No separate compartment for laptop
4,Nice,Great bag
4,Nice,Nice bag
5,Quality,It is good and space is also much.
3,Just okay,Material is not so good but it is quite spacious. After 3 months of use it looks quite old.
4,About Laptop pocket,Bag is too good but no Laptop pocket.
3,Good,Good but too large overall best
3,This bag has a big compartment,For school
3,Not satisfied,Side pocket torn apart afer use of water bottle
5,Good one,Comfortable and rough and tough
5,Durable product,Good and spacious bag
4,Good,Satisfied with product and delivery timing
5,Good product,Value for money
5,good,good
3,Photo looks better than the product,Okay one
4,Bottle pocket,After the use of 15 days bottel pocket got cut own of its own
5,Nice product,Nice
5,Good space,
4,Bag review,Good bag
4,Classic backpack,Water resistant Material
5,Good quality,I am very happy
4,Best,Like
5,"Nice looks, Good amount of Space for Books, Water Bottle holder is also big enough.",
5,Best quality,Quality product
5,American Tourist backpack, Amazing product.. I love it.. material is awesome packing was also nice bag was not packed with unnecessary paper which I liked most. Thank you so much Amazon for this wonderful product.. Amazon is always love 💜 delivery was smooth always got best product
5,Good durability,Nothing is better than this
